start,end,duration,comment,persistent
3284.70536,3284.7123,0.00694,Unknown (most likely ground-processing issue),FALSE
3314.86369,3314.88452,0.02083,Payload data handling unit update,FALSE
3317.1793,3317.18092,0.00162,Micro-meteoroid hit,TRUE
3317.53591,3317.56786,0.03194,Unknown (most likely ground-processing issue),FALSE
3318.85662,3318.85824,0.00162,Micro-meteoroid hit,TRUE
3374.89111,3374.89273,0.00162,Micro-meteoroid hit,TRUE
3407.29666,3407.29828,0.00162,Micro-meteoroid hit,TRUE
3421.43602,3421.43764,0.00162,Micro-meteoroid hit,TRUE
3472.15535,3472.2248,0.06944,Unknown (most likely ground-processing issue),FALSE
3473.80615,3473.80801,0.00185,Micro-meteoroid hit,TRUE
3477.40801,3477.40916,0.00116,Micro-meteoroid hit,TRUE
3480.75291,3480.75407,0.00116,Micro-meteoroid hit,TRUE
3497.85152,3497.85291,0.00139,Micro-meteoroid hit,TRUE
3508.98301,3508.98463,0.00162,Micro-meteoroid hit,TRUE
3532.62189,3532.62351,0.00162,Micro-meteoroid hit,TRUE
3541.59574,3541.60407,0.00833,Micro-meteoroid hit,TRUE
3542.11369,3542.32758,0.21389,Station-keeping manoeuvre #21,FALSE
3603.25037,3605.23452,1.98415,Micro-propulsion sub-system anomaly,TRUE
3605.31507,3605.34007,0.025,Micro-propulsion sub-system anomaly,FALSE
3605.35952,3605.45952,0.1,Micro-propulsion sub-system anomaly,FALSE
3611.7837,3611.78555,0.00185,Micro-meteoroid hit,TRUE
3623.12513,3623.13208,0.00694,Micro-meteoroid hit,TRUE
3650.42722,3650.42884,0.00162,Micro-meteoroid hit,TRUE
3668.78462,3668.78601,0.00139,Micro-meteoroid hit,TRUE
3671.83856,3671.84018,0.00162,Micro-meteoroid hit,TRUE
3708.79157,3708.79272,0.00116,Micro-meteoroid hit,TRUE
3744.43856,3744.43995,0.00139,Micro-meteoroid hit,TRUE
